TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate
16,312,555.8,2023-10-30 16:52:49,0,2,646,462,47,1,19,3,158,1,1131.26,2024-11-04 08:07:35
17,353,492.93,2023-12-14 18:32:14,1,8,415,49,58,2,39,1,234,1,5109.97,2024-11-04 08:11:51
18,237,18.68,2023-02-21 16:56:50,0,0,510,576,53,1,59,2,106,1,7948.37,2024-11-04 08:12:01
19,280,71.48,2023-06-08 18:18:50,0,8,38,69,38,2,18,3,169,1,6568.59,2024-11-04 08:09:20
20,1,59.32,2023-02-28 16:36:58,1,20,150,59,39,1,71,2,38,1,5750.89,2024-11-04 08:09:24
21,13,85.77,2023-08-11 18:31:31,1,19,259,476,64,1,38,0,93,1,9146.19,2024-11-04 08:08:13
22,93,52.2,2023-06-06 18:54:15,1,1,140,90,21,2,39,1,120,1,8974.93,2024-11-04 08:07:01
23,236,145.54,2023-03-02 16:43:56,1,33,35,62,27,2,21,3,96,1,1930.96,2024-11-04 08:07:09
24,39,7.49,2023-10-20 17:53:13,0,15,646,541,42,2,65,2,276,1,3634.67,2024-11-04 08:09:44
25,55,40.32,2023-03-29 16:42:38,1,25,299,326,7,1,37,1,95,1,2686.52,2024-11-04 08:11:59
26,384,127.45,2023-01-24 16:18:32,1,19,226,150,91,2,44,0,197,1,1772.06,2024-11-04 08:11:22
27,308,56.17,2023-09-20 16:55:42,1,11,287,395,42,1,27,3,283,1,1351.69,2024-11-04 08:08:30
28,361,28.31,2023-07-17 17:49:22,0,24,565,402,90,2,59,0,20,1,8334.47,2024-11-04 08:09:17
29,286,59.12,2023-02-06 16:24:24,1,3,273,247,52,0,29,0,257,1,9823.64,2024-11-04 08:06:58
30,353,877.81,2023-03-13 17:23:24,1,20,109,92,93,2,22,3,150,1,399.0,2024-11-04 08:07:50
31,359,255.26,2023-10-27 16:42:49,0,37,344,568,1,1,45,0,50,1,14815.87,2024-11-04 08:10:51
32,262,124.76,2023-10-16 16:32:56,1,39,41,477,1,1,49,1,45,1,5764.72,2024-11-04 08:06:23
33,398,78.13,2023-11-21 16:58:44,1,25,244,395,27,1,26,3,145,1,900.61,2024-11-04 08:12:18
34,199,649.28,2023-03-02 17:53:32,1,38,431,515,73,0,75,2,137,1,4875.86,2024-11-04 08:11:15
35,399,335.63,2023-01-24 17:17:20,1,28,37,447,39,2,55,2,216,1,1019.39,2024-11-04 08:07:32
36,415,328.47,2023-07-31 18:39:50,1,35,536,480,13,0,63,2,119,1,4323.66,2024-11-04 08:07:31
37,474,34.02,2023-01-09 16:13:21,1,30,602,25,45,2,38,0,19,1,14214.48,2024-11-04 08:11:45
38,118,241.42,2023-04-20 18:57:43,0,5,193,486,43,2,57,0,116,1,13357.02,2024-11-04 08:09:03
39,115,55.32,2023-04-12 16:03:37,1,40,192,218,8,0,19,3,117,1,241.79,2024-11-04 08:08:03
40,10,304.31,2023-07-26 16:52:28,1,21,660,521,4,1,27,3,33,1,868.61,2024-11-04 08:09:53
41,395,435.27,2023-10-04 17:49:29,1,6,287,285,50,1,74,2,90,1,4673.28,2024-11-04 08:11:12
42,277,164.49,2023-12-13 16:01:38,1,3,101,43,69,1,26,3,75,1,1509.27,2024-11-04 08:10:33
43,433,510.24,2023-10-09 16:29:40,1,28,380,244,89,2,19,3,105,1,781.7,2024-11-04 08:11:35
44,291,626.9,2023-11-27 16:45:57,1,10,275,571,22,2,26,3,138,1,265.51,2024-11-04 08:07:24
45,465,22.01,2023-03-27 16:45:18,0,34,293,75,54,2,41,1,175,1,1335.09,2024-11-04 08:06:31
46,157,425.34,2023-02-13 16:59:39,0,18,636,108,39,2,69,2,121,1,3907.54,2024-11-04 08:07:07
47,476,424.56,2023-02-21 17:45:55,1,29,575,230,14,2,51,1,264,1,5183.85,2024-11-04 08:09:02
48,113,85.43,2023-06-07 16:45:34,1,41,229,277,77,1,67,0,145,1,14904.9,2024-11-04 08:06:45
49,53,169.5,2023-09-07 16:51:27,1,36,425,426,35,1,28,3,142,1,918.88,2024-11-04 08:08:58
50,413,104.63,2023-03-29 17:47:16,1,29,617,244,94,0,62,2,90,1,4477.78,2024-11-04 08:10:42
51,368,316.95,2023-08-04 17:53:40,1,23,12,538,51,1,25,3,83,1,1324.03,2024-11-04 08:09:15
52,266,60.54,2023-12-14 17:52:37,0,8,445,0,94,1,57,2,52,1,3534.93,2024-11-04 08:09:57
53,450,292.56,2023-03-03 17:37:41,0,9,300,292,74,1,68,2,61,1,4638.37,2024-11-04 08:07:49
54,141,386.52,2023-06-09 16:18:15,1,16,143,245,63,1,48,1,28,1,5630.61,2024-11-04 08:07:09
55,421,112.07,2023-10-02 16:35:22,1,18,87,289,63,1,23,3,51,1,930.3,2024-11-04 08:11:37
56,432,568.52,2023-10-06 18:44:37,1,16,227,374,93,0,46,1,152,1,5499.91,2024-11-04 08:06:25
57,419,349.64,2023-11-07 16:48:23,1,19,496,563,96,2,48,1,226,1,6651.62,2024-11-04 08:08:09
58,320,601.4,2023-05-30 17:43:25,0,30,528,76,0,1,56,1,104,1,8458.29,2024-11-04 08:08:01
59,428,5.77,2023-11-02 16:01:40,1,5,444,155,70,2,50,0,124,1,13988.12,2024-11-04 08:11:32
60,237,201.33,2023-03-29 17:00:31,0,26,96,125,2,1,42,1,186,1,2585.07,2024-11-04 08:11:41
61,314,298.42,2023-04-25 16:11:24,1,16,418,568,4,1,56,2,225,1,3014.75,2024-11-04 08:10:12
62,454,521.06,2023-04-18 18:40:47,1,0,294,87,62,1,25,3,128,1,1951.42,2024-11-04 08:12:10
63,455,117.28,2023-02-09 16:34:53,0,2,126,438,56,2,60,1,16,1,3665.77,2024-11-04 08:07:11
64,389,189.12,2023-11-13 16:42:28,0,16,659,77,39,1,32,1,103,1,977.01,2024-11-04 08:08:42
65,214,133.55,2023-07-18 16:12:00,1,1,196,420,90,0,44,1,220,1,3846.28,2024-11-04 08:10:18
66,51,143.21,2023-01-13 17:00:16,1,9,393,499,65,2,35,1,135,1,6374.82,2024-11-04 08:09:26
67,277,24.77,2023-07-04 18:20:33,1,4,176,563,69,0,62,2,55,1,5866.01,2024-11-04 08:12:15
68,108,233.92,2023-10-20 16:54:28,0,17,285,149,45,2,26,3,280,1,6537.62,2024-11-04 08:08:45
69,234,232.12,2023-12-28 17:31:03,1,29,72,159,65,0,37,1,51,1,6689.87,2024-11-04 08:09:17
70,6,162.63,2023-06-12 17:53:52,1,18,69,482,59,2,22,3,113,1,634.17,2024-11-04 08:08:22
71,21,91.53,2023-03-13 16:32:12,1,25,350,579,94,1,44,0,69,1,14676.05,2024-11-04 08:11:36
72,458,120.29,2023-12-18 18:46:27,1,24,540,185,44,1,19,3,77,1,1362.39,2024-11-04 08:06:50
73,13,174.25,2023-07-17 18:54:31,1,39,359,86,31,2,50,0,67,1,10528.34,2024-11-04 08:10:29
74,400,183.71,2023-06-19 18:22:10,1,10,468,553,73,0,38,1,102,1,552.52,2024-11-04 08:09:51
75,439,345.39,2023-10-23 17:13:57,0,31,95,87,80,2,58,1,80,1,6451.96,2024-11-04 08:08:16
76,217,259.91,2023-11-06 16:34:10,1,10,591,404,27,2,49,0,170,1,7176.86,2024-11-04 08:09:38
77,138,154.71,2023-07-03 16:40:24,1,36,474,199,29,2,34,0,157,1,1523.72,2024-11-04 08:09:42
78,298,24.56,2023-10-20 17:27:35,1,23,411,170,32,1,64,0,69,1,9869.93,2024-11-04 08:12:05
79,367,568.07,2023-08-28 17:03:53,1,42,17,530,53,0,48,0,115,1,10556.81,2024-11-04 08:07:32
80,432,9.61,2023-06-22 18:37:29,0,36,436,88,42,2,58,0,179,1,12883.91,2024-11-04 08:09:10
81,431,392.96,2023-11-20 16:28:09,1,18,139,245,21,2,24,3,100,1,791.65,2024-11-04 08:08:38
82,104,716.93,2023-09-14 16:49:33,0,25,310,12,51,2,60,2,34,1,4064.02,2024-11-04 08:08:12
83,147,230.66,2023-03-27 18:16:04,1,15,506,485,48,1,21,3,135,1,618.05,2024-11-04 08:10:44
84,367,442.12,2023-12-21 16:37:03,1,20,620,204,46,2,19,3,260,1,1375.8,2024-11-04 08:08:21
85,419,644.17,2023-03-02 16:05:09,1,35,174,195,92,0,29,1,72,1,1143.52,2024-11-04 08:08:04
86,9,508.68,2023-06-26 16:16:50,0,23,597,271,47,1,51,1,127,1,7708.41,2024-11-04 08:09:32
87,342,858.63,2023-04-18 17:27:23,0,37,18,224,1,1,27,3,185,1,1872.96,2024-11-04 08:10:47
88,10,25.36,2023-07-17 17:08:24,1,21,187,488,6,0,57,1,78,1,201.04,2024-11-04 08:11:05
89,447,147.62,2023-09-01 17:26:02,1,5,91,143,27,1,71,2,133,1,2115.8,2024-11-04 08:07:22
90,175,115.02,2023-09-11 16:19:04,1,35,508,93,3,1,37,0,175,1,7643.66,2024-11-04 08:08:38
91,260,383.37,2023-01-24 17:23:56,1,13,309,231,65,1,30,1,24,1,8901.93,2024-11-04 08:11:07
92,17,98.54,2023-08-11 16:18:46,0,12,508,396,94,2,20,3,167,1,9383.43,2024-11-04 08:10:02
93,73,83.24,2023-10-16 18:35:11,0,13,584,326,8,1,55,0,164,1,1181.31,2024-11-04 08:10:52
94,458,196.16,2023-02-24 16:29:23,1,41,160,314,98,1,27,1,146,1,9418.86,2024-11-04 08:08:32
95,167,129.94,2023-01-02 16:36:02,1,19,622,36,44,0,32,1,235,1,7954.92,2024-11-04 08:06:35
96,230,306.9,2023-11-30 16:31:03,1,7,77,581,46,2,46,1,51,1,9418.08,2024-11-04 08:10:48
97,12,114.98,2023-11-01 16:52:01,1,39,178,51,31,2,59,2,80,1,6144.68,2024-11-04 08:09:24
98,391,756.59,2023-03-06 16:47:02,1,34,27,221,11,1,27,3,17,1,420.65,2024-11-04 08:11:40
99,417,503.76,2023-11-27 18:32:49,1,20,498,343,82,2,22,3,35,1,447.82,2024-11-04 08:09:22
100,152,143.03,2023-07-31 16:37:46,1,35,451,285,54,0,63,2,147,1,7981.45,2024-11-04 08:10:42
101,313,245.54,2023-03-21 16:29:31,1,27,516,430,88,0,25,3,180,1,985.06,2024-11-04 08:10:26
102,390,254.37,2023-04-20 18:26:50,0,9,459,120,11,2,51,1,174,1,8849.26,2024-11-04 08:06:56
103,119,213.76,2023-03-01 17:52:14,0,9,552,455,8,0,78,2,282,1,3528.72,2024-11-04 08:09:36
104,331,327.86,2023-02-10 16:52:48,1,14,630,250,50,2,40,1,104,1,480.16,2024-11-04 08:06:30
105,462,2.5,2023-07-21 16:43:11,1,36,648,432,41,2,47,0,107,1,12145.27,2024-11-04 08:09:53
106,277,300.08,2023-10-09 17:02:43,0,2,258,552,39,2,68,0,47,1,13546.75,2024-11-04 08:12:18
107,83,407.65,2023-07-07 16:11:38,1,4,524,586,40,2,26,1,62,1,8346.64,2024-11-04 08:06:30
108,90,115.83,2023-05-22 17:09:52,1,14,638,75,85,1,39,1,167,1,6481.04,2024-11-04 08:10:02
109,290,53.57,2023-08-16 16:17:12,1,15,469,437,24,0,69,2,121,1,1651.33,2024-11-04 08:08:43
110,352,63.34,2023-11-17 16:02:02,0,11,417,507,27,2,46,0,165,1,11174.94,2024-11-04 08:10:13
111,306,317.87,2023-05-22 17:29:35,1,11,302,527,75,2,27,3,91,1,145.5,2024-11-04 08:11:32
112,64,331.65,2023-08-25 17:26:07,1,32,36,373,5,2,41,1,61,1,4172.57,2024-11-04 08:11:00
113,335,5.04,2023-11-27 16:38:34,1,42,20,492,0,0,56,2,41,1,5558.36,2024-11-04 08:10:48
114,279,214.54,2023-08-04 17:46:44,0,11,110,281,25,2,70,0,247,1,11151.53,2024-11-04 08:11:56
115,205,598.81,2023-09-04 16:48:35,1,30,41,568,80,1,57,0,158,1,1415.52,2024-11-04 08:10:13
116,173,841.28,2023-08-09 17:34:26,1,40,267,12,82,2,26,3,80,1,1103.64,2024-11-04 08:09:58
117,51,38.15,2023-09-07 16:07:40,1,23,662,522,4,2,26,3,108,1,303.68,2024-11-04 08:07:42
118,376,124.72,2023-07-03 17:14:07,1,28,116,135,3,1,33,1,105,1,6309.8,2024-11-04 08:07:25
119,378,302.45,2023-09-25 17:13:36,0,35,51,312,58,1,78,2,40,1,5133.61,2024-11-04 08:11:55
120,200,208.04,2023-11-20 17:10:02,1,21,326,500,54,2,47,1,273,1,9344.98,2024-11-04 08:08:45
121,491,5.77,2023-11-17 17:27:07,0,20,230,552,97,1,23,3,254,1,1117.97,2024-11-04 08:10:53
122,343,381.33,2023-08-21 16:46:05,1,0,610,489,33,0,56,0,75,1,11835.35,2024-11-04 08:09:32
123,174,16.16,2023-10-16 16:59:36,1,25,448,180,64,0,50,0,124,1,14401.17,2024-11-04 08:11:59
124,279,486.08,2023-06-20 17:21:50,1,28,166,107,59,2,18,3,68,1,1748.69,2024-11-04 08:07:03
125,267,336.39,2023-01-16 16:53:38,1,35,409,312,2,1,21,3,18,1,1000.46,2024-11-04 08:09:57
126,379,234.57,2023-09-01 16:09:08,1,6,532,434,44,2,23,3,120,1,263.98,2024-11-04 08:08:47
127,397,6.0,2023-10-23 18:38:15,1,6,535,231,89,2,30,0,246,1,5442.76,2024-11-04 08:09:43
128,161,227.14,2023-07-03 17:42:08,1,5,422,285,56,0,18,3,294,1,341.94,2024-11-04 08:11:34
129,106,233.74,2023-10-24 16:41:00,0,28,577,581,29,2,66,2,17,1,1066.59,2024-11-04 08:11:17
130,391,113.02,2023-09-25 16:54:22,0,17,354,394,18,1,69,2,166,1,6077.96,2024-11-04 08:07:21
131,428,45.85,2023-02-16 17:57:10,1,20,235,188,84,0,20,3,92,1,1659.15,2024-11-04 08:07:24
132,328,415.5,2023-07-28 16:29:23,1,22,317,111,76,0,66,0,141,1,10113.66,2024-11-04 08:10:23
133,274,265.76,2023-02-06 17:48:55,1,30,155,382,48,2,54,2,92,1,4446.17,2024-11-04 08:12:18
134,70,69.4,2023-07-24 18:08:43,1,41,396,343,72,2,80,2,113,1,6452.77,2024-11-04 08:09:04
135,237,332.93,2023-11-20 16:29:48,0,0,528,43,38,1,35,1,293,1,2788.2,2024-11-04 08:08:14
136,298,267.9,2023-10-09 16:52:47,1,35,582,345,77,2,20,3,160,1,596.16,2024-11-04 08:08:34
137,436,496.03,2023-11-03 16:45:52,1,37,69,329,8,1,61,0,265,1,12904.66,2024-11-04 08:09:41
138,85,376.26,2023-02-15 16:41:11,1,40,462,546,80,0,37,1,245,1,9062.4,2024-11-04 08:09:58
139,171,83.02,2023-09-04 17:59:51,0,39,220,399,57,2,36,1,171,1,9009.56,2024-11-04 08:11:01
140,415,93.26,2023-07-27 16:22:52,0,27,419,235,91,2,20,3,72,1,1152.2,2024-11-04 08:12:04
141,109,803.37,2023-04-17 16:08:34,0,22,106,268,29,1,68,0,129,1,12168.37,2024-11-04 08:08:40
142,270,35.76,2023-09-19 17:38:18,1,5,653,37,56,1,23,3,122,1,611.86,2024-11-04 08:11:40
143,485,28.53,2023-05-31 16:37:39,1,42,299,342,34,2,62,0,99,1,8670.53,2024-11-04 08:06:30
144,374,139.53,2023-10-09 17:20:09,0,21,471,199,1,2,53,0,177,1,10098.86,2024-11-04 08:07:31
145,223,307.57,2023-01-09 16:12:01,1,11,75,78,48,1,33,0,285,1,5307.74,2024-11-04 08:06:33
146,252,60.65,2023-05-26 18:15:08,0,40,439,4,84,1,56,2,53,1,1047.28,2024-11-04 08:09:22
147,60,74.86,2023-08-14 17:43:17,1,26,113,179,27,1,70,0,125,1,6921.48,2024-11-04 08:07:39
148,377,117.97,2023-11-24 18:51:32,1,18,272,291,99,1,51,2,137,1,1475.46,2024-11-04 08:09:21
149,179,231.91,2023-01-31 18:31:22,1,22,356,183,43,0,34,1,165,1,112.76,2024-11-04 08:12:15
150,472,126.21,2023-02-14 16:07:01,1,3,0,113,0,1,75,2,268,1,5669.66,2024-11-04 08:08:42
151,199,304.35,2023-12-04 17:07:34,1,15,272,237,6,1,31,1,36,1,4057.1,2024-11-04 08:08:45
152,326,281.85,2023-05-16 17:26:37,1,11,146,352,12,0,22,3,109,1,1585.98,2024-11-04 08:07:38
153,468,777.88,2023-03-20 16:58:12,1,15,419,108,17,1,31,1,17,1,6825.55,2024-11-04 08:09:15
154,263,119.18,2023-08-25 18:01:38,1,20,298,508,92,1,56,2,96,1,5516.5,2024-11-04 08:07:34
155,242,177.19,2023-05-15 17:25:28,1,6,641,86,87,2,76,2,43,1,5343.3,2024-11-04 08:06:30
156,293,260.88,2023-05-29 16:50:10,1,10,314,242,93,1,22,3,36,1,903.05,2024-11-04 08:06:52
157,104,169.47,2023-03-22 16:10:14,1,6,60,69,45,2,24,3,19,1,1806.16,2024-11-04 08:07:37
158,33,73.23,2023-05-19 16:52:53,1,32,58,157,21,1,26,3,14,1,787.74,2024-11-04 08:11:12
159,268,792.57,2023-05-22 16:22:36,1,3,407,32,58,0,19,3,164,1,770.37,2024-11-04 08:10:39
160,154,237.06,2023-12-18 16:47:17,1,31,438,487,48,2,71,2,46,1,1182.77,2024-11-04 08:07:50
161,9,34.17,2023-11-21 16:57:43,0,30,35,226,90,2,54,1,54,1,726.55,2024-11-04 08:06:29
162,34,740.25,2023-07-19 17:03:58,1,30,29,0,9,2,41,0,123,1,14464.3,2024-11-04 08:08:27
163,147,453.54,2023-04-19 16:36:03,1,0,148,363,16,0,58,0,82,1,12046.3,2024-11-04 08:12:06
164,222,300.47,2023-11-13 16:11:52,1,17,263,159,64,1,73,2,100,1,7885.64,2024-11-04 08:08:00
165,75,110.93,2023-04-07 16:38:15,0,41,140,12,35,1,19,3,201,1,1952.35,2024-11-04 08:10:53
166,434,201.69,2023-01-03 16:46:36,1,19,601,271,18,0,59,0,299,1,7328.52,2024-11-04 08:10:16
167,316,399.21,2023-01-30 16:15:49,1,32,291,386,61,0,59,1,109,1,3210.39,2024-11-04 08:08:21
168,253,630.36,2023-03-02 16:11:53,1,23,89,302,83,0,62,2,52,1,1363.65,2024-11-04 08:12:15
169,130,10.94,2023-10-23 17:24:07,0,30,483,5,82,0,60,1,245,1,1241.99,2024-11-04 08:11:53
170,111,215.9,2023-01-04 16:02:09,1,20,397,132,82,0,38,0,235,1,7873.28,2024-11-04 08:10:23
171,97,226.37,2023-09-18 17:07:08,0,21,606,318,40,1,49,0,141,1,9840.04,2024-11-04 08:09:56
172,260,444.89,2023-09-11 16:27:39,0,19,169,428,59,1,43,0,101,1,10328.23,2024-11-04 08:11:50
173,45,280.57,2023-01-27 17:35:05,0,41,518,211,16,2,25,3,24,1,293.24,2024-11-04 08:10:24
174,4,488.54,2023-07-03 17:47:49,1,17,449,290,35,1,52,1,132,1,7486.63,2024-11-04 08:07:26
175,357,3.3,2023-03-27 16:42:16,0,20,209,59,84,1,50,0,131,1,11385.37,2024-11-04 08:10:11
176,420,199.39,2023-08-21 16:16:22,1,7,293,279,22,1,69,2,165,1,7264.79,2024-11-04 08:09:06
177,105,20.36,2023-07-24 17:02:18,1,40,81,581,68,1,62,2,75,1,2762.48,2024-11-04 08:11:15
178,232,113.64,2023-10-24 17:09:41,1,11,21,388,37,2,62,2,32,1,6675.03,2024-11-04 08:07:55
179,352,493.11,2023-07-31 16:25:26,1,7,226,400,21,1,53,2,236,1,7432.99,2024-11-04 08:08:01
180,111,307.41,2023-06-12 17:32:52,1,20,13,2,6,0,19,3,14,1,1057.0,2024-11-04 08:09:48
181,9,11.18,2023-11-30 16:52:42,1,1,127,172,16,2,43,0,161,1,5956.89,2024-11-04 08:10:20
182,492,313.82,2023-11-15 18:57:38,1,40,344,230,96,1,59,1,151,1,7261.59,2024-11-04 08:08:42
183,374,51.0,2023-01-30 16:00:38,1,39,194,274,62,1,64,2,107,1,4943.16,2024-11-04 08:08:23
184,446,140.98,2023-05-25 16:34:22,1,22,358,270,58,1,60,1,100,1,8127.48,2024-11-04 08:12:13
185,19,288.04,2023-08-24 16:47:21,1,10,560,316,91,0,68,2,63,1,1748.02,2024-11-04 08:10:00
186,178,800.55,2023-05-04 16:21:31,1,28,632,531,61,0,31,1,108,1,9660.22,2024-11-04 08:06:49
187,364,485.54,2023-02-06 17:46:59,1,15,567,111,60,0,46,1,143,1,6371.51,2024-11-04 08:11:46
188,447,521.15,2023-02-17 18:16:05,1,18,106,197,83,0,54,0,214,1,9442.47,2024-11-04 08:07:31
189,334,321.79,2023-08-07 17:30:33,0,33,517,553,55,0,63,2,61,1,5959.2,2024-11-04 08:10:01
190,244,304.93,2023-02-24 16:23:22,1,32,675,325,97,0,65,0,158,1,13531.22,2024-11-04 08:08:15
191,473,432.08,2023-07-31 16:04:55,1,12,72,418,43,0,40,0,145,1,11500.62,2024-11-04 08:11:46
192,296,694.2,2023-12-07 16:20:08,1,25,6,374,34,0,61,2,72,1,1389.37,2024-11-04 08:07:23
193,374,116.86,2023-03-20 18:28:48,1,21,511,238,87,0,55,1,171,1,6706.56,2024-11-04 08:12:15
194,128,386.81,2023-03-03 18:02:52,0,11,242,397,38,2,57,0,149,1,7175.29,2024-11-04 08:10:50
195,5,74.88,2023-05-24 16:25:50,1,1,137,178,25,0,25,3,202,1,420.67,2024-11-04 08:07:46
196,94,195.76,2023-05-22 16:17:19,1,30,497,61,55,1,75,2,99,1,7323.53,2024-11-04 08:09:48
197,106,134.7,2023-08-21 16:03:18,1,13,612,156,73,0,50,0,106,1,8395.85,2024-11-04 08:11:07
198,68,890.24,2023-07-07 18:03:43,0,19,217,378,28,2,33,1,161,1,5140.93,2024-11-04 08:07:32
199,411,361.27,2023-01-06 17:01:53,1,29,651,525,87,0,63,0,180,1,7945.57,2024-11-04 08:10:07
200,385,131.56,2023-10-19 16:42:37,1,5,198,375,13,1,44,0,42,1,5873.54,2024-11-04 08:07:12
201,408,485.51,2023-11-28 16:49:27,0,25,443,566,96,2,76,2,37,1,3074.45,2024-11-04 08:08:02
202,3,547.87,2023-07-10 17:15:27,1,8,179,251,63,0,64,2,131,1,6155.76,2024-11-04 08:10:31
203,45,457.3,2023-06-26 18:25:21,1,41,208,490,41,2,28,1,15,1,8318.29,2024-11-04 08:07:53
204,195,506.24,2023-01-13 16:44:26,1,6,303,97,76,0,58,1,64,1,230.09,2024-11-04 08:11:40
205,309,486.59,2023-12-19 16:55:17,1,16,28,79,16,1,57,2,119,1,2513.56,2024-11-04 08:10:02
206,209,163.68,2023-09-28 16:20:57,1,36,423,402,86,1,41,0,292,1,10090.05,2024-11-04 08:11:01
207,113,581.65,2023-01-09 16:54:58,1,4,641,537,8,0,22,3,176,1,480.19,2024-11-04 08:09:39
208,53,52.01,2023-11-07 16:46:04,1,23,627,228,18,0,48,0,85,1,1120.88,2024-11-04 08:11:27
209,421,630.24,2023-11-29 18:10:30,1,4,528,66,53,0,21,3,62,1,370.81,2024-11-04 08:11:52
210,395,523.74,2023-11-02 16:36:37,1,28,531,343,98,0,43,0,159,1,13498.55,2024-11-04 08:06:52
211,294,217.5,2023-10-23 18:54:48,0,10,466,13,42,1,46,1,35,1,3057.4,2024-11-04 08:06:58
212,339,91.48,2023-01-23 16:50:31,1,13,285,177,80,0,51,0,141,1,14942.78,2024-11-04 08:09:17
213,424,5.25,2023-11-13 18:26:24,1,38,549,575,9,0,39,0,49,1,14143.32,2024-11-04 08:12:22
214,172,54.03,2023-09-19 17:16:46,0,25,499,182,86,0,56,2,161,1,6736.3,2024-11-04 08:07:36
215,174,736.73,2023-11-27 16:05:27,1,22,163,23,36,1,48,1,10,1,3313.07,2024-11-04 08:10:54
216,222,368.91,2023-03-10 17:49:57,1,41,215,349,81,1,54,0,14,1,829.71,2024-11-04 08:10:28
217,388,33.06,2023-01-17 16:03:41,0,13,400,492,44,2,53,2,170,1,1540.87,2024-11-04 08:06:43
218,25,66.5,2023-05-04 16:44:56,0,21,402,84,97,2,32,1,144,1,6820.23,2024-11-04 08:08:06
219,74,177.08,2023-01-06 17:16:44,1,19,433,225,13,2,35,0,85,1,13475.14,2024-11-04 08:12:21
220,212,588.54,2023-02-06 17:57:28,1,32,586,334,30,1,32,1,130,1,714.45,2024-11-04 08:10:37
221,199,173.5,2023-10-23 17:16:20,1,26,229,390,51,0,21,3,282,1,1306.91,2024-11-04 08:11:52
222,394,78.33,2023-07-31 16:13:12,0,22,186,552,68,2,56,1,189,1,7255.33,2024-11-04 08:08:18
223,3,40.66,2024-01-01 16:08:49,1,21,208,140,60,1,59,2,156,1,1153.84,2024-11-04 08:11:28
224,255,97.22,2023-02-20 17:30:19,0,1,487,251,62,1,77,2,55,1,6647.73,2024-11-04 08:11:17
225,409,34.07,2023-11-06 17:22:58,1,30,155,379,79,1,22,3,81,1,8709.77,2024-11-04 08:07:21
226,332,492.06,2023-10-19 16:14:15,1,14,394,483,11,2,23,3,74,1,857.9,2024-11-04 08:09:56
227,248,842.01,2023-09-12 16:43:27,0,41,204,488,14,2,53,0,185,1,509.45,2024-11-04 08:08:33
228,124,73.55,2023-01-09 16:09:48,1,1,205,283,85,0,51,1,158,1,2812.06,2024-11-04 08:11:21
229,299,760.53,2023-09-04 18:13:25,1,31,626,226,4,2,57,1,118,1,6179.91,2024-11-04 08:09:35
230,464,273.08,2023-01-30 16:09:08,0,15,514,145,6,1,26,1,134,1,6609.3,2024-11-04 08:07:57
231,39,371.69,2023-12-22 16:27:49,1,37,358,74,19,1,67,2,143,1,3484.32,2024-11-04 08:09:59
232,436,218.96,2023-08-30 16:11:47,1,39,535,459,20,0,18,3,13,1,754.21,2024-11-04 08:10:35
233,424,227.39,2023-12-25 16:58:19,1,1,202,581,9,2,18,3,65,1,751.09,2024-11-04 08:11:36
